hetionet_gene_id	hetionet_gene_symbol	entrez_id	ensembl_id	gene_symbol
Gene::64147	KIF9	64147	ENSG00000088727	KIF9
Gene::79822	ARHGAP28	79822	ENSG00000088756	ARHGAP28
Gene::54675	CRLS1	54675	ENSG00000088766	CRLS1
Gene::140850	DEFB127	140850	ENSG00000088782	DEFB127
Gene::23368	PPP1R13B	23368	ENSG00000088808	PPP1R13B
Gene::8455	ATRN	8455	ENSG00000088812	ATRN
Gene::54498	SMOX	54498	ENSG00000088826	SMOX
Gene::6614	SIGLEC1	6614	ENSG00000088827	SIGLEC1
Gene::2280	FKBP1A	2280	ENSG00000088832	FKBP1A
Gene::55968	NSFL1C	55968	ENSG00000088833	NSFL1C
Gene::83959	SLC4A11	83959	ENSG00000088836	SLC4A11
Gene::25943	C20orf194	25943	ENSG00000088854	DNAAF9
Gene::79175	ZNF343	79175	ENSG00000088876	ZNF343
Gene::57593	EBF4	57593	ENSG00000088881	EBF4
Gene::56265	CPXM1	56265	ENSG00000088882	CPXM1
Gene::57506	MAVS	57506	ENSG00000088888	MAVS
Gene::9762	LZTS3	9762	ENSG00000088899	LZTS3
Gene::2160	F11	2160	ENSG00000088926	F11
Gene::22803	XRN2	22803	ENSG00000088930	XRN2
Gene::55857	KIZ	55857	ENSG00000088970	KIZ
Gene::8655	DYNLL1	8655	ENSG00000088986	DYNLL1
Gene::54997	TESC	54997	ENSG00000088992	TESC
Gene::27131	SNX5	27131	ENSG00000089006	SNX5
Gene::6128	RPL6	6128	ENSG00000089009	RPL6
Gene::55423	SIRPG	55423	ENSG00000089012	SIRPG
Gene::8550	MAPKAPK5	8550	ENSG00000089022	MAPKAPK5
Gene::5027	P2RX7	5027	ENSG00000089041	P2RX7
Gene::51575	ESF1	51575	ENSG00000089048	ESF1
Gene::10741	RBBP9	10741	ENSG00000089050	RBBP9
Gene::51433	ANAPC5	51433	ENSG00000089053	ANAPC5
Gene::9962	SLC23A2	9962	ENSG00000089057	SLC23A2
Gene::80024	SLC8B1	80024	ENSG00000089060	SLC8B1
Gene::29058	TMEM230	29058	ENSG00000089063	TMEM230
Gene::55184	DZANK1	55184	ENSG00000089091	DZANK1
Gene::84678	KDM2B	84678	ENSG00000089094	KDM2B
Gene::26074	CFAP61	26074	ENSG00000089101	CFAP61
Gene::64211	LHX5	64211	ENSG00000089116	LHX5
Gene::55617	TASP1	55617	ENSG00000089123	TASP1
Gene::4938	OAS1	4938	ENSG00000089127	OAS1
Gene::10985	GCN1L1	10985	ENSG00000089154	GCN1
Gene::6175	RPLP0	6175	ENSG00000089157	RPLP0
Gene::5829	PXN	5829	ENSG00000089159	PXN
Gene::23409	SIRT4	23409	ENSG00000089163	SIRT4
Gene::22895	RPH3A	22895	ENSG00000089169	RPH3A
Gene::55614	KIF16B	55614	ENSG00000089177	KIF16B
Gene::51605	TRMT6	51605	ENSG00000089195	TRMT6
Gene::1114	CHGB	1114	ENSG00000089199	CHGB
Gene::5037	PEBP1	5037	ENSG00000089220	PEBP1
Gene::6910	TBX5	6910	ENSG00000089225	TBX5
Gene::8315	BRAP	8315	ENSG00000089234	BRAP
Gene::10961	ERP29	10961	ENSG00000089248	ERP29
Gene::4842	NOS1	4842	ENSG00000089250	NOS1
Gene::2521	FUS	2521	ENSG00000089280	FUS
Gene::3476	IGBP1	3476	ENSG00000089289	IGBP1
Gene::53827	FXYD5	53827	ENSG00000089327	FXYD5
Gene::55900	ZNF302	55900	ENSG00000089335	ZNF302
Gene::57655	GRAMD1A	57655	ENSG00000089351	GRAMD1A
Gene::5349	FXYD3	5349	ENSG00000089356	FXYD3
Gene::9843	HEPH	9843	ENSG00000089472	HEPH
Gene::29965	CDIP1	29965	ENSG00000089486	CDIP1
Gene::113540	CMTM1	113540	ENSG00000089505	CMTM1
Gene::23415	KCNH4	23415	ENSG00000089558	KCNH4
Gene::23193	GANAB	23193	ENSG00000089597	GANAB
Gene::51291	GMIP	51291	ENSG00000089639	GMIP
Gene::55285	RBM41	55285	ENSG00000089682	RBM41
Gene::332	BIRC5	332	ENSG00000089685	BIRC5
Gene::3902	LAG3	3902	ENSG00000089692	LAG3
Gene::8079	MLF2	8079	ENSG00000089693	MLF2
Gene::78990	OTUB2	78990	ENSG00000089723	OTUB2
Gene::57062	DDX24	57062	ENSG00000089737	DDX24
Gene::7597	ZBTB25	7597	ENSG00000089775	ZBTB25
Gene::25977	NECAP1	25977	ENSG00000089818	NECAP1
Gene::393	ARHGAP4	393	ENSG00000089820	ARHGAP4
Gene::170961	ANKRD24	170961	ENSG00000089847	ANKRD24
Gene::55760	DHX32	55760	ENSG00000089876	DHX32
Gene::23186	RCOR1	23186	ENSG00000089902	RCOR1
Gene::55668	GPATCH2L	55668	ENSG00000089916	GPATCH2L
Gene::8425	LTBP4	8425	ENSG00000090006	LTBP4
Gene::645	BLVRB	645	ENSG00000090013	BLVRB
Gene::6548	SLC9A1	6548	ENSG00000090020	SLC9A1
Gene::10558	SPTLC1	10558	ENSG00000090054	SPTLC1
Gene::10914	PAPOLA	10914	ENSG00000090060	PAPOLA
Gene::8812	CCNK	8812	ENSG00000090061	CCNK
Gene::57060	PCBP4	57060	ENSG00000090097	PCBP4
Gene::5996	RGS1	5996	ENSG00000090104	RGS1
Gene::83719	YPEL3	83719	ENSG00000090238	YPEL3
Gene::51650	MRPS33	51650	ENSG00000090263	MRPS33
Gene::4708	NDUFB2	4708	ENSG00000090266	NDUFB2
Gene::10726	NUDC	10726	ENSG00000090273	NUDC
Gene::10296	MAEA	10296	ENSG00000090316	MAEA
Gene::3383	ICAM1	3383	ENSG00000090339	ICAM1
Gene::29888	STRN4	29888	ENSG00000090372	STRN4
Gene::11213	IRAK3	11213	ENSG00000090376	IRAK3
Gene::4069	LYZ	4069	ENSG00000090382	LYZ
Gene::6476	SI	6476	ENSG00000090402	SI
Gene::79594	MUL1	79594	ENSG00000090432	MUL1
Gene::7023	TFAP4	7023	ENSG00000090447	TFAP4
Gene::10081	PDCD7	10081	ENSG00000090470	PDCD7
Gene::51324	SPG21	51324	ENSG00000090487	SPG21
Gene::26998	FETUB	26998	ENSG00000090512	FETUB
Gene::51726	DNAJB11	51726	ENSG00000090520	DNAJB11
Gene::55214	P3H2	55214	ENSG00000090530	P3H2
Gene::7066	THPO	7066	ENSG00000090534	THPO
Gene::8646	CHRD	8646	ENSG00000090539	CHRD
Gene::2323	FLT3LG	2323	ENSG00000090554	FLT3LG
Gene::9727	RAB11FIP3	9727	ENSG00000090565	RAB11FIP3
Gene::84572	GNPTG	84572	ENSG00000090581	GNPTG
Gene::10795	ZNF268	10795	ENSG00000090612	ZNF268
Gene::2802	GOLGA3	2802	ENSG00000090615	GOLGA3
Gene::8761	PABPC4	8761	ENSG00000090621	PABPC4
Gene::30835	CD209	30835	ENSG00000090659	CD209
Gene::79603	CERS4	79603	ENSG00000090661	CERS4
Gene::57192	MCOLN1	57192	ENSG00000090674	MCOLN1
Gene::84196	USP48	84196	ENSG00000090686	USP48
Gene::1947	EFNB1	1947	ENSG00000090776	EFNB1
Gene::55066	PDPR	55066	ENSG00000090857	PDPR
Gene::16	AARS	16	ENSG00000090861	AARS1
Gene::2734	GLG1	2734	ENSG00000090863	GLG1
Gene::24137	KIF4A	24137	ENSG00000090889	KIF4A
Gene::27327	TNRC6A	27327	ENSG00000090905	TNRC6A
Gene::64857	PLEKHG2	64857	ENSG00000090924	PLEKHG2
Gene::10683	DLL3	10683	ENSG00000090932	DLL3
Gene::57106	NAT14	57106	ENSG00000090971	NAT14
Gene::57605	PITPNM2	57605	ENSG00000090975	PITPNM2
Gene::55763	EXOC1	55763	ENSG00000090989	EXOC1
Gene::54439	RBM27	54439	ENSG00000091009	RBM27
Gene::5459	POU4F3	5459	ENSG00000091010	POU4F3
Gene::114882	OSBPL8	114882	ENSG00000091039	OSBPL8
Gene::113878	DTX2	113878	ENSG00000091073	DTX2
Gene::58484	NLRC4	58484	ENSG00000091106	NLRC4
Gene::54517	PUS7	54517	ENSG00000091127	PUS7
Gene::22798	LAMB4	22798	ENSG00000091128	LAMB4
Gene::4897	NRCAM	4897	ENSG00000091129	NRCAM
Gene::3912	LAMB1	3912	ENSG00000091136	LAMB1
Gene::5172	SLC26A4	5172	ENSG00000091137	SLC26A4
Gene::1811	SLC26A3	1811	ENSG00000091138	SLC26A3
Gene::1738	DLD	1738	ENSG00000091140	DLD
Gene::23335	WDR7	23335	ENSG00000091157	WDR7
Gene::9352	TXNL1	9352	ENSG00000091164	TXNL1
Gene::3568	IL5RA	3568	ENSG00000091181	IL5RA
Gene::368	ABCC6	368	ENSG00000091262	ABCC6
Gene::54918	CMTM6	54918	ENSG00000091317	CMTM6
Gene::3655	ITGA6	3655	ENSG00000091409	ITGA6
Gene::11069	RAPGEF4	11069	ENSG00000091428	RAPGEF4
Gene::51776	ZAK	51776	ENSG00000091436	MAP3K20
Gene::23676	SMPX	23676	ENSG00000091482	SMPX
Gene::2271	FH	2271	ENSG00000091483	FH
Gene::23231	SEL1L3	23231	ENSG00000091490	SEL1L3
Gene::7018	TF	7018	ENSG00000091513	TF
Gene::55573	CDV3	55573	ENSG00000091527	CDV3
Gene::51168	MYO15A	51168	ENSG00000091536	MYO15A
Gene::54890	ALKBH5	54890	ENSG00000091542	ALKBH5
Gene::350	APOH	350	ENSG00000091583	APOH
Gene::22861	NLRP1	22861	ENSG00000091592	NLRP1
Gene::83394	PITPNM3	83394	ENSG00000091622	PITPNM3
Gene::9552	SPAG7	9552	ENSG00000091640	SPAG7
Gene::23594	ORC6	23594	ENSG00000091651	ORC6
Gene::79776	ZFHX4	79776	ENSG00000091656	ZFHX4
Gene::57084	SLC17A6	57084	ENSG00000091664	SLC17A6
Gene::1357	CPA1	1357	ENSG00000091704	CPA1
Gene::51530	ZC3HC1	51530	ENSG00000091732	ZC3HC1
Gene::2099	ESR1	2099	ENSG00000091831	ESR1
Gene::26575	RGS17	26575	ENSG00000091844	RGS17
Gene::285	ANGPT2	285	ENSG00000091879	ANGPT2
Gene::84336	TMEM101	84336	ENSG00000091947	TMEM101
Gene::4345	CD200	4345	ENSG00000091972	CD200
Gene::151887	CCDC80	151887	ENSG00000091986	CCDC80
Gene::1215	CMA1	1215	ENSG00000092009	CMA1
Gene::5720	PSME1	5720	ENSG00000092010	PSME1
Gene::55012	PPP2R3C	55012	ENSG00000092020	PPP2R3C
Gene::54930	HAUS4	54930	ENSG00000092036	HAUS4
Gene::84502	JPH4	84502	ENSG00000092051	JPH4
Gene::4625	MYH7	4625	ENSG00000092054	MYH7
Gene::1053	CEBPE	1053	ENSG00000092067	CEBPE
Gene::23428	SLC7A8	23428	ENSG00000092068	SLC7A8
Gene::55644	OSGEP	55644	ENSG00000092094	OSGEP
Gene::51310	SLC22A17	51310	ENSG00000092096	SLC22A17
Gene::55072	RNF31	55072	ENSG00000092098	RNF31
Gene::23256	SCFD1	23256	ENSG00000092108	SCFD1
Gene::55632	G2E3	55632	ENSG00000092140	G2E3
Gene::25831	HECTD1	25831	ENSG00000092148	HECTD1
Gene::3183	HNRNPC	3183	ENSG00000092199	HNRNPC
Gene::57096	RPGRIP1	57096	ENSG00000092200	RPGRIP1
Gene::11198	SUPT16H	11198	ENSG00000092201	SUPT16H
Gene::9878	TOX4	9878	ENSG00000092203	TOX4
Gene::8487	GEMIN2	8487	ENSG00000092208	GEMIN2
Gene::7051	TGM1	7051	ENSG00000092295	TGM1
Gene::26277	TINF2	26277	ENSG00000092330	TINF2
Gene::1618	DAZL	1618	ENSG00000092345	DAZL
Gene::90665	TBL1Y	90665	ENSG00000092377	TBL1Y
Gene::57556	SEMA6A	57556	ENSG00000092421	SEMA6A
Gene::54822	TRPM7	54822	ENSG00000092439	TRPM7
Gene::7301	TYRO3	7301	ENSG00000092445	TYRO3
Gene::79968	WDR76	79968	ENSG00000092470	WDR76
Gene::825	CAPN3	825	ENSG00000092529	CAPN3
Gene::8773	SNAP23	8773	ENSG00000092531	SNAP23
Gene::6913	TBX15	6913	ENSG00000092607	TBX15
Gene::26227	PHGDH	26227	ENSG00000092621	PHGDH
Gene::1299	COL9A3	1299	ENSG00000092758	COL9A3
Gene::7430	EZR	7430	ENSG00000092820	EZR
Gene::4637	MYL6	4637	ENSG00000092841	MYL6
Gene::26523	AGO1	26523	ENSG00000092847	AGO1
Gene::27285	TEKT2	27285	ENSG00000092850	TEKT2
Gene::63967	CLSPN	63967	ENSG00000092853	CLSPN
Gene::117584	RFFL	117584	ENSG00000092871	RFFL
Gene::201294	UNC13D	201294	ENSG00000092929	UNC13D
Gene::79157	MFSD11	79157	ENSG00000092931	MFSD11
Gene::1808	DPYSL2	1808	ENSG00000092964	DPYSL2
Gene::7042	TGFB2	7042	ENSG00000092969	TGFB2
Gene::55105	GPATCH2	55105	ENSG00000092978	GPATCH2
Gene::10762	NUP50	10762	ENSG00000093000	NUP50
Gene::8318	CDC45	8318	ENSG00000093009	CDC45
Gene::1312	COMT	1312	ENSG00000093010	COMT
Gene::51816	CECR1	51816	ENSG00000093072	ADA2
Gene::55350	VNN3	55350	ENSG00000093134	VNN3P
Gene::55862	ECHDC1	55862	ENSG00000093144	ECHDC1
Gene::9209	LRRFIP2	9209	ENSG00000093167	LRRFIP2
Gene::9117	SEC22C	9117	ENSG00000093183	SEC22C
Gene::9942	XYLB	9942	ENSG00000093217	XYLB
Gene::10013	HDAC6	10013	ENSG00000094631	HDAC6
Gene::126370	OR1I1	126370	ENSG00000094661	OR1I1
Gene::2568	GABRP	2568	ENSG00000094755	GABRP
Gene::3881	KRT31	3881	ENSG00000094796	KRT31
Gene::990	CDC6	990	ENSG00000094804	CDC6
Gene::139596	UPRT	139596	ENSG00000094841	UPRT
Gene::8697	CDC23	8697	ENSG00000094880	CDC23
Gene::8086	AAAS	8086	ENSG00000094914	AAAS
Gene::23468	CBX5	23468	ENSG00000094916	CBX5
Gene::2327	FMO2	2327	ENSG00000094963	FMO2
Gene::51430	SUCO	51430	ENSG00000094975	SUCO
Gene::4436	MSH2	4436	ENSG00000095002	MSH2
Gene::4214	MAP3K1	4214	ENSG00000095015	MAP3K1
Gene::1725	DHPS	1725	ENSG00000095059	DHPS
Gene::29911	HOOK2	29911	ENSG00000095066	HOOK2
Gene::120400	NXPE1	120400	ENSG00000095110	NXPE1
Gene::372	ARCN1	372	ENSG00000095139	ARCN1
Gene::54566	EPB41L4B	54566	ENSG00000095203	EPB41L4B
Gene::55151	TMEM38B	55151	ENSG00000095209	TMEM38B
Gene::5711	PSMD5	5711	ENSG00000095261	PSMD5
Gene::5742	PTGS1	5742	ENSG00000095303	PTGS1
Gene::23511	NUP188	23511	ENSG00000095319	NUP188
Gene::1384	CRAT	1384	ENSG00000095321	CRAT
Gene::10044	SH2D3C	10044	ENSG00000095370	SH2D3C
Gene::54187	NANS	54187	ENSG00000095380	NANS
Gene::55357	TBC1D2	55357	ENSG00000095383	TBC1D2
Gene::25861	DFNB31	25861	ENSG00000095397	WHRN
Gene::5146	PDE6C	5146	ENSG00000095464	PDE6C
Gene::55280	CWF19L1	55280	ENSG00000095485	CWF19L1
Gene::57715	SEMA4G	57715	ENSG00000095539	SEMA4G
Gene::9044	BTAF1	9044	ENSG00000095564	BTAF1
Gene::64376	IKZF5	64376	ENSG00000095574	IKZF5
Gene::29760	BLNK	29760	ENSG00000095585	BLNK
Gene::7093	TLL2	7093	ENSG00000095587	TLL2
Gene::1592	CYP26A1	1592	ENSG00000095596	CYP26A1
Gene::56165	TDRD1	56165	ENSG00000095627	TDRD1
Gene::10580	SORBS1	10580	ENSG00000095637	SORBS1
Gene::55118	CRTAC1	55118	ENSG00000095713	CRTAC1
Gene::25805	BAMBI	25805	ENSG00000095739	BAMBI
Gene::3589	IL11	3589	ENSG00000095752	IL11
Gene::53904	MYO3A	53904	ENSG00000095777	MYO3A
Gene::51322	WAC	51322	ENSG00000095787	WAC
Gene::1390	CREM	1390	ENSG00000095794	CREM
Gene::10101	NUBP2	10101	ENSG00000095906	NUBP2
Gene::23430	TPSD1	23430	ENSG00000095917	TPSD1
Gene::284422	SMIM24	284422	ENSG00000095932	SMIM24
Gene::3096	HIVEP1	3096	ENSG00000095951	HIVEP1
Gene::54209	TREM2	54209	ENSG00000095970	TREM2
Gene::83795	KCNK16	83795	ENSG00000095981	KCNK16
Gene::10321	CRISP3	10321	ENSG00000096006	CRISP3
Gene::2289	FKBP5	2289	ENSG00000096060	FKBP5
Gene::6732	SRPK1	6732	ENSG00000096063	SRPK1
Gene::27154	BRPF3	27154	ENSG00000096070	BRPF3
Gene::55168	MRPS18A	55168	ENSG00000096080	MRPS18A
Gene::5225	PGC	5225	ENSG00000096088	PGC
Gene::28978	TMEM14A	28978	ENSG00000096092	TMEM14A
Gene::114327	EFHC1	114327	ENSG00000096093	EFHC1
Gene::9436	NCR2	9436	ENSG00000096264	NCR2
Gene::3326	HSP90AB1	3326	ENSG00000096384	HSP90AB1
Gene::4295	MLN	4295	ENSG00000096395	MLN
Gene::988	CDC5L	988	ENSG00000096401	CDC5L
Gene::3710	ITPR3	3710	ENSG00000096433	ITPR3
Gene::7738	ZNF184	7738	ENSG00000096654	ZNF184
Gene::1832	DSP	1832	ENSG00000096696	DSP
Gene::23411	SIRT1	23411	ENSG00000096717	SIRT1
Gene::3189	HNRNPH3	3189	ENSG00000096746	HNRNPH3
Gene::80173	IFT74	80173	ENSG00000096872	IFT74
Gene::3717	JAK2	3717	ENSG00000096968	JAK2
Gene::3594	IL12RB1	3594	ENSG00000096996	IL12RB1
Gene::25	ABL1	25	ENSG00000097007	ABL1
Gene::11332	ACOT7	11332	ENSG00000097021	ACOT7
Gene::51100	SH3GLB1	51100	ENSG00000097033	SH3GLB1
Gene::8317	CDC7	8317	ENSG00000097046	CDC7
Gene::84144	SYDE2	84144	ENSG00000097096	SYDE2
Gene::5125	PCSK5	5125	ENSG00000099139	PCSK5
Gene::6319	SCD	6319	ENSG00000099194	SCD
Gene::11018	TMED1	11018	ENSG00000099203	TMED1
Gene::3983	ABLIM1	3983	ENSG00000099204	ABLIM1
Gene::79956	ERMP1	79956	ENSG00000099219	ERMP1
Gene::22931	RAB18	22931	ENSG00000099246	RAB18
Gene::8829	NRP1	8829	ENSG00000099250	NRP1
Gene::56952	PRTFDC1	56952	ENSG00000099256	PRTFDC1
Gene::54873	PALMD	54873	ENSG00000099260	PALMD
Gene::23555	TSPAN15	23555	ENSG00000099282	TSPAN15
Gene::55506	H2AFY2	55506	ENSG00000099284	MACROH2A2
Gene::387680	FAM21A	387680	ENSG00000099290	WASHC2A
Gene::23031	MAST3	23031	ENSG00000099308	MAST3
Gene::7593	MZF1	7593	ENSG00000099326	MZF1
Gene::79629	OCEL1	79629	ENSG00000099330	OCEL1
Gene::4650	MYO9B	4650	ENSG00000099331	MYO9B
Gene::9424	KCNK6	9424	ENSG00000099337	KCNK6
Gene::57828	CATSPERG	57828	ENSG00000099338	CATSPERG
Gene::5714	PSMD8	5714	ENSG00000099341	PSMD8
Gene::54620	FBXL19	54620	ENSG00000099364	FBXL19
Gene::112755	STX1B	112755	ENSG00000099365	STX1B
Gene::80270	HSD3B7	80270	ENSG00000099377	HSD3B7
Gene::9739	SETD1A	9739	ENSG00000099381	SETD1A
Gene::9274	BCL7C	9274	ENSG00000099385	BCL7C
Gene::4113	MAGEB2	4113	ENSG00000099399	MAGEB2
Gene::1943	EFNA2	1943	ENSG00000099617	EFNA2
Gene::1153	CIRBP	1153	ENSG00000099622	CIRBP
Gene::513	ATP5D	513	ENSG00000099624	ATP5F1D
Gene::255057	C19orf26	255057	ENSG00000099625	CBARP
Gene::83259	PCDH11Y	83259	ENSG00000099715	PCDH11Y
Gene::266	AMELY	266	ENSG00000099721	AMELY
Gene::3483	IGFALS	3483	ENSG00000099769	IGFALS
Gene::4670	HNRNPM	4670	ENSG00000099783	HNRNPM
Gene::51257	MARCH2	51257	ENSG00000099785	MARCHF2
Gene::4713	NDUFB7	4713	ENSG00000099795	NDUFB7
Gene::9524	TECR	9524	ENSG00000099797	TECR
Gene::26517	TIMM13	26517	ENSG00000099800	TIMM13
Gene::997	CDC34	997	ENSG00000099804	CDC34
Gene::4507	MTAP	4507	ENSG00000099810	MTAP
Gene::126353	MISP	126353	ENSG00000099812	MISP
Gene::283638	CEP170B	283638	ENSG00000099814	CEP170B
Gene::5434	POLR2E	5434	ENSG00000099817	POLR2E
Gene::5442	POLRMT	5442	ENSG00000099821	POLRMT
Gene::610	HCN2	610	ENSG00000099822	HCN2
Gene::53841	CDHR5	53841	ENSG00000099834	CDHR5
Gene::113177	IZUMO4	113177	ENSG00000099840	IZUMO4
Gene::8045	RASSF7	8045	ENSG00000099849	RASSF7
Gene::4616	GADD45B	4616	ENSG00000099860	GADD45B
Gene::5064	PALM	5064	ENSG00000099864	PALM
Gene::8174	MADCAM1	8174	ENSG00000099866	MADCAM1
Gene::2872	MKNK2	2872	ENSG00000099875	MKNK2
Gene::421	ARVCF	421	ENSG00000099889	ARVCF
Gene::27037	TRMT2A	27037	ENSG00000099899	TRMT2A
Gene::5902	RANBP1	5902	ENSG00000099901	RANBP1
Gene::29801	ZDHHC8	29801	ENSG00000099904	ZDHHC8
Gene::84861	KLHL22	84861	ENSG00000099910	KLHL22
Gene::51586	MED15	51586	ENSG00000099917	MED15
Gene::3053	SERPIND1	3053	ENSG00000099937	SERPIND1
Gene::9342	SNAP29	9342	ENSG00000099940	SNAP29
Gene::1399	CRKL	1399	ENSG00000099942	CRKL
Gene::8216	LZTR1	8216	ENSG00000099949	LZTR1
Gene::4320	MMP11	4320	ENSG00000099953	MMP11
Gene::27443	CECR2	27443	ENSG00000099954	CECR2
Gene::6598	SMARCB1	6598	ENSG00000099956	SMARCB1
Gene::9127	P2RX6	9127	ENSG00000099957	P2RX6
Gene::91319	DERL3	91319	ENSG00000099958	DERL3
Gene::6545	SLC7A4	6545	ENSG00000099960	SLC7A4
Gene::23786	BCL2L13	23786	ENSG00000099968	BCL2L13
Gene::100037417	DDTL	100037417	ENSG00000099974	DDTL
Gene::1652	DDT	1652	ENSG00000099977	DDT
Gene::2953	GSTT2	2953	ENSG00000099984	GSTT2
Gene::5008	OSM	5008	ENSG00000099985	OSM
Gene::23523	CABIN1	23523	ENSG00000099991	CABIN1
Gene::83874	TBC1D10A	83874	ENSG00000099992	TBC1D10A
Gene::56241	SUSD2	56241	ENSG00000099994	SUSD2
Gene::10291	SF3A1	10291	ENSG00000099995	SF3A1
Gene::2687	GGT5	2687	ENSG00000099998	GGT5
Gene::200312	RNF215	200312	ENSG00000099999	RNF215
Gene::23541	SEC14L2	23541	ENSG00000100003	SEC14L2
Gene::266629	SEC14L3	266629	ENSG00000100012	SEC14L3
Gene::23384	SPECC1L	23384	ENSG00000100014	SPECC1L
Gene::23759	PPIL2	23759	ENSG00000100023	PPIL2
Gene::51733	UPB1	51733	ENSG00000100024	UPB1
Gene::29799	YPEL1	29799	ENSG00000100027	YPEL1
Gene::6634	SNRPD3	6634	ENSG00000100028	SNRPD3
Gene::23481	PES1	23481	ENSG00000100029	PES1
Gene::5594	MAPK1	5594	ENSG00000100030	MAPK1
Gene::2678	GGT1	2678	ENSG00000100031	GGT1
Gene::5625	PRODH	5625	ENSG00000100033	PRODH
Gene::9647	PPM1F	9647	ENSG00000100034	PPM1F
Gene::339665	SLC35E4	339665	ENSG00000100036	SLC35E4
Gene::8940	TOP3B	8940	ENSG00000100038	TOP3B
Gene::1417	CRYBB3	1417	ENSG00000100053	CRYBB3
Gene::27128	CYTH4	27128	ENSG00000100055	CYTH4
Gene::8220	DGCR14	8220	ENSG00000100056	ESS2
Gene::4242	MFNG	4242	ENSG00000100060	MFNG
Gene::29775	CARD10	29775	ENSG00000100065	CARD10
Gene::91355	LRP5L	91355	ENSG00000100068	LRP5L
Gene::6576	SLC25A1	6576	ENSG00000100075	SLC25A1
Gene::157	ADRBK2	157	ENSG00000100077	GRK3
Gene::50487	PLA2G3	50487	ENSG00000100078	PLA2G3
Gene::3957	LGALS2	3957	ENSG00000100079	LGALS2
Gene::26088	GGA1	26088	ENSG00000100083	GGA1
Gene::7290	HIRA	7290	ENSG00000100084	HIRA
Gene::23616	SH3BP1	23616	ENSG00000100092	SH3BP1
Gene::23544	SEZ6L	23544	ENSG00000100095	SEZ6L
Gene::3956	LGALS1	3956	ENSG00000100097	LGALS1
Gene::89781	HPS4	89781	ENSG00000100099	HPS4
Gene::113791	PIK3IP1	113791	ENSG00000100100	PIK3IP1
Gene::402055	SRRD	402055	ENSG00000100104	SRRD
Gene::23598	PATZ1	23598	ENSG00000100105	PATZ1
Gene::11078	TRIOBP	11078	ENSG00000100106	TRIOBP
Gene::24144	TFIP11	24144	ENSG00000100109	TFIP11
Gene::23464	GCAT	23464	ENSG00000100116	GCAT
Gene::91227	GGTLC2	91227	ENSG00000100121	GGTLC2
Gene::1414	CRYBB1	1414	ENSG00000100122	CRYBB1
Gene::129138	ANKRD54	129138	ENSG00000100124	ANKRD54
Gene::51386	EIF3L	51386	ENSG00000100129	EIF3L
Gene::4809	NHP2L1	4809	ENSG00000100138	SNU13
Gene::85377	MICALL1	85377	ENSG00000100139	MICALL1
Gene::5435	POLR2F	5435	ENSG00000100142	POLR2F
Gene::6663	SOX10	6663	ENSG00000100146	SOX10
Gene::79879	CCDC134	79879	ENSG00000100147	CCDC134
Gene::9681	DEPDC5	9681	ENSG00000100150	DEPDC5
Gene::9463	PICK1	9463	ENSG00000100151	PICK1
Gene::23331	TTC28	23331	ENSG00000100154	TTC28
Gene::23539	SLC16A8	23539	ENSG00000100156	SLC16A8
Gene::79019	CENPM	79019	ENSG00000100162	CENPM
Gene::55964	SEPT3	55964	ENSG00000100167	SEPTIN3
Gene::6523	SLC5A1	6523	ENSG00000100170	SLC5A1
Gene::6527	SLC5A4	6527	ENSG00000100191	SLC5A4
Gene::11015	KDELR3	11015	ENSG00000100196	KDELR3
Gene::1565	CYP2D6	1565	ENSG00000100197	CYP2D6
Gene::10521	DDX17	10521	ENSG00000100201	DDX17
Gene::11144	DMC1	11144	ENSG00000100206	DMC1
Gene::6942	TCF20	6942	ENSG00000100207	TCF20
Gene::150274	HSCB	150274	ENSG00000100209	HSCB
Gene::25776	CBY1	25776	ENSG00000100211	CBY1
Gene::56993	TOMM22	56993	ENSG00000100216	TOMM22
Gene::27156	RSPH14	27156	ENSG00000100218	RSPH14
Gene::7494	XBP1	7494	ENSG00000100219	XBP1
Gene::51493	RTCB	51493	ENSG00000100220	RTCB
Gene::9929	JOSD1	9929	ENSG00000100221	JOSD1
Gene::25793	FBXO7	25793	ENSG00000100225	FBXO7
Gene::9567	GTPBP1	9567	ENSG00000100226	GTPBP1
Gene::84271	POLDIP3	84271	ENSG00000100227	POLDIP3
Gene::9609	RAB36	9609	ENSG00000100228	RAB36
Gene::7078	TIMP3	7078	ENSG00000100234	TIMP3
Gene::9701	PPP6R2	9701	ENSG00000100239	PPP6R2
Gene::6305	SBF1	6305	ENSG00000100241	SBF1
Gene::25777	SUN2	25777	ENSG00000100242	SUN2
Gene::1727	CYB5R3	1727	ENSG00000100243	CYB5R3
Gene::10126	DNAL4	10126	ENSG00000100246	DNAL4
Gene::25770	C22orf31	25770	ENSG00000100249	C22orf31
Gene::55586	MIOX	55586	ENSG00000100253	MIOX
Gene::91289	LMF2	91289	ENSG00000100258	LMF2
Gene::25807	RHBDD3	25807	ENSG00000100263	RHBDD3
Gene::11252	PACSIN2	11252	ENSG00000100266	PACSIN2
Gene::25809	TTLL1	25809	ENSG00000100271	TTLL1
Gene::10633	RASL10A	10633	ENSG00000100276	RASL10A
Gene::162	AP1B1	162	ENSG00000100280	AP1B1
Gene::10042	HMGXB4	10042	ENSG00000100281	HMGXB4
